	15.134	-2.50004	-21
	14.067	-4.11602	-21
	14.933	-5.61598	-21
	16.866	-5.49996	-21
	17.933	-3.88398	-21
	17.067	-2.38402	-21
	15.134	-2.50004	-21
	15.134	-2.50004	-23
	14.067	-4.11602	-23
	14.933	-5.61598	-23
	16.866	-5.49996	-23
	17.933	-3.88398	-23
	17.067	-2.38402	-23
	15.134	-2.50004	-23
	15.134	-2.50004	-21
	14.067	-4.11602	-23
	14.067	-4.11602	-21
	14.933	-5.61598	-23
	14.933	-5.61598	-21
	16.866	-5.49996	-23
	16.866	-5.49996	-21
	17.933	-3.88398	-23
	17.933	-3.88398	-21
	17.067	-2.38402	-23
	17.067	-2.38402	-21
	15.134	-2.50004	-23
	15.134	-2.50004	-21
