	23.134	5.49996	-21
	22.067	3.88398	-21
	22.933	2.38402	-21
	24.866	2.50004	-21
	25.933	4.11602	-21
	25.067	5.61598	-21
	23.134	5.49996	-21
	23.134	5.49996	-23
	22.067	3.88398	-23
	22.933	2.38402	-23
	24.866	2.50004	-23
	25.933	4.11602	-23
	25.067	5.61598	-23
	23.134	5.49996	-23
	23.134	5.49996	-21
	22.067	3.88398	-23
	22.067	3.88398	-21
	22.933	2.38402	-23
	22.933	2.38402	-21
	24.866	2.50004	-23
	24.866	2.50004	-21
	25.933	4.11602	-23
	25.933	4.11602	-21
	25.067	5.61598	-23
	25.067	5.61598	-21
	23.134	5.49996	-23
	23.134	5.49996	-21
