	23.134	-2.50004	-21
	22.067	-4.11602	-21
	22.933	-5.61598	-21
	24.866	-5.49996	-21
	25.933	-3.88398	-21
	25.067	-2.38402	-21
	23.134	-2.50004	-21
	23.134	-2.50004	-23
	22.067	-4.11602	-23
	22.933	-5.61598	-23
	24.866	-5.49996	-23
	25.933	-3.88398	-23
	25.067	-2.38402	-23
	23.134	-2.50004	-23
	23.134	-2.50004	-21
	22.067	-4.11602	-23
	22.067	-4.11602	-21
	22.933	-5.61598	-23
	22.933	-5.61598	-21
	24.866	-5.49996	-23
	24.866	-5.49996	-21
	25.933	-3.88398	-23
	25.933	-3.88398	-21
	25.067	-2.38402	-23
	25.067	-2.38402	-21
	23.134	-2.50004	-23
	23.134	-2.50004	-21
