	15.134	5.49996	-21
	14.067	3.88398	-21
	14.933	2.38402	-21
	16.866	2.50004	-21
	17.933	4.11602	-21
	17.067	5.61598	-21
	15.134	5.49996	-21
	15.134	5.49996	-23
	14.067	3.88398	-23
	14.933	2.38402	-23
	16.866	2.50004	-23
	17.933	4.11602	-23
	17.067	5.61598	-23
	15.134	5.49996	-23
	15.134	5.49996	-21
	14.067	3.88398	-23
	14.067	3.88398	-21
	14.933	2.38402	-23
	14.933	2.38402	-21
	16.866	2.50004	-23
	16.866	2.50004	-21
	17.933	4.11602	-23
	17.933	4.11602	-21
	17.067	5.61598	-23
	17.067	5.61598	-21
	15.134	5.49996	-23
	15.134	5.49996	-21
